id,value
f,
f.0,
f.0.没有,27
f.0.酒店,24
f.0.不错,21
f.0.app,20
f.0.软件,19
f.0.中国,19
f.0.非常,18
f.0.方便,18
f.0.更新,16
f.0.这个,15
f.0.为什么,15
f.0.机票,14
f.0.好用,12
f.1,
f.1.不能,12
f.1.可以,11
f.1.人民币,11
f.1.网站,11
f.1.good,10
f.1.一个,10
f.1.大陆,10
f.1.闪退,10
f.1.希望,9
f.1.APP,9
f.1.香港,9
f.2,
f.2.感觉,8
f.2.无法,8
f.2.服务,8
f.2.不到,8
f.2.就是,8
f.2.知道,8
f.2.但是,7
f.2.使用,7
f.2.预定,7
f.2.订单,7
f.2.取消,7
f.2.每次,7
f.2.国内,6
f.2.功能,6
f.2.版本,6
f.2.改进,6
f.2.App,6
f.3,
f.3.Good,6
f.3.选择,6
f.3.expedia,6
f.3.电话,6
f.3.国外,6
f.3.登录,6
f.3.显示,6
f.3.付款,6
f.3.大家,6
f.3.怎么,6
f.3.居然,6
f.3.只有,6
f.3.地区,6
f.3.一直,6
f.3.客服,6
f.3.设置,6
